heldout_scenario,simulation_id,sample_index,baseline_policy_label,loho_policy_label,policy_stable,delta_Q_Water,delta_F_Water,baseline_R_Water,loho_R_Water,R_stable_Water,delta_Q_Vaccine,delta_F_Vaccine,baseline_R_Vaccine,loho_R_Vaccine,R_stable_Vaccine,delta_Q_Crackers,delta_F_Crackers,baseline_R_Crackers,loho_R_Crackers,R_stable_Crackers,canonical_policy_hash_stable,first_stage_stable,delta_first_stage_cost,row_sha256
h01,LA-0761,761,P1,P1,True,0.0,0.0,NONE,NONE,True,0.0,0.0,NONE,NONE,True,0.0,0.0,NONE,NONE,True,False,True,0.0,e16706cb4ced3297812222816c884b661828cc04ff52beeede961d4323d74845
h01,LA-0273,273,P4,P4,True,0.0,-26519825.737213723,R0,R0,True,0.0,1234326.755532722,R0,R0,True,0.0,0.0,NONE,NONE,True,False,False,2.3283064365386963e-10,59a25df2d10905c4eb22fec80eb97cc6de6c4c94aac41906027e51832a0cddf4
h01,LA-0998,998,P4,P4,True,0.0,0.0,NONE,NONE,True,0.0,-452130.65110266674,R0,R0,True,0.0,67134551.22433539,NONE,R0,False,False,False,0.0,d6f5d1925023720b7053a6577d44ade7a1027e57b7efbade4389ab392ea87016
h01,LA-0586,586,P1,P1,True,0.0,0.0,NONE,NONE,True,0.0,0.0,NONE,NONE,True,0.0,0.0,NONE,NONE,True,False,True,0.0,bac0757198ecb0290a27a3cde8ebc68f58b37edb10e0052c4a4d7a3302e5b6c6
h01,LA-0169,169,P4,P4,True,0.0,0.0,NONE,NONE,True,0.0,0.0,NONE,NONE,True,0.0,0.0,R1,R1,True,False,True,0.0,d40f0e4d049abd6c7252eae5395e8df34a399fc1f39c2b17244e0fb3c40789de
h01,LA-0099,99,P2,P2,True,0.0,0.0,NONE,NONE,True,0.0,0.0,NONE,NONE,True,0.0,0.0,R0,R0,True,False,True,0.0,7249dd96e63d38fe1e7c4f991b1ca3e6b5782cc44e185d681d11a7b48ab43f5a
h01,LA-0456,456,P4,P4,True,0.0,842449.9038054718,NONE,R0,False,0.0,0.0,NONE,NONE,True,0.0,-5822180.993329108,R0,R0,True,False,False,0.0,0f62e090c81571a78dc670d80ca0577fbc2af40f8dc682b0fd0b1733198458aa
h01,LA-0383,383,P4,P4,True,0.0,-22367068.87116262,R0,NONE,False,0.0,727685.2479199043,R0,R0,True,0.0,46528836.93767214,NONE,R0,False,False,False,0.0,e24a1e64fbed0c57ba0fa46e8ab1c5731b877bccaecd61dedadc2b9de3cba731
h01,LA-0249,249,P4,P4,True,0.0,-489607.92618313426,R0,NONE,False,0.0,22788.0895220479,R0,R0,True,0.0,0.0,NONE,NONE,True,False,False,4.656612873077393e-10,2c3bc384c285956f42e3159b9a7b8acc1ecd4836e111a448ae2598bfde68f904
h01,LA-0060,60,P4,P4,True,0.0,0.0,NONE,NONE,True,0.0,0.0,NONE,NONE,True,0.0,2.9802322387695312e-08,R0,R0,True,False,True,9.313225746154785e-10,8c23ef17b3d9563c8cdf28764289bd2c15921ce728adc0f44eb2eded8fe29766
h01,LA-0999,999,P4,P4,True,0.0,0.0,NONE,NONE,True,0.0,0.0,NONE,NONE,True,0.0,0.0,R0,R0,True,False,True,0.0,53397313bc596c7dee2977b3a1b32ee58572bc8b07fd0144dfc71667ea8e8ebf
h01,LA-0927,927,P4,P4,True,0.0,765744.2738040396,NONE,R1,False,0.0,0.0,NONE,NONE,True,0.0,-5292067.500457525,R1,R1,True,False,False,-1.862645149230957e-09,3315de3141b5d5c21bfe2ce24ec268661d6f3685e46834c9b48be7c43d63bd83
h01,LA-0962,962,P4,P4,True,0.0,14819739.613530943,NONE,R0,False,0.0,0.0,NONE,NONE,True,0.0,-102419391.24716169,R0,R0,True,False,False,1.862645149230957e-09,4429787ab23661eedf87177faa97ff6a5ea4fedfa9a67802f18b2cdde7751f37
