source_row,paper_country_code,country,iso3,population_source_location,year,population_1_july_persons,original_population_thousands,variant,source_dataset,source_reference,source_locator,transformation_rule,provenance_class
73640,JAM,Jamaica,JAM,Jamaica,2020,2830739,2830.739,Medium,UN_WPP_2024,UN_WPP_2024_MEDIUM_DEMOGRAPHIC_INDICATORS,row:73640,TPopulation1July (thousands) multiplied by 1000 and rounded to nearest person,DERIVED
73641,JAM,Jamaica,JAM,Jamaica,2021,2837682,2837.682,Medium,UN_WPP_2024,UN_WPP_2024_MEDIUM_DEMOGRAPHIC_INDICATORS,row:73641,TPopulation1July (thousands) multiplied by 1000 and rounded to nearest person,DERIVED
73642,JAM,Jamaica,JAM,Jamaica,2022,2839144,2839.144,Medium,UN_WPP_2024,UN_WPP_2024_MEDIUM_DEMOGRAPHIC_INDICATORS,row:73642,TPopulation1July (thousands) multiplied by 1000 and rounded to nearest person,DERIVED
73643,JAM,Jamaica,JAM,Jamaica,2023,2839786,2839.786,Medium,UN_WPP_2024,UN_WPP_2024_MEDIUM_DEMOGRAPHIC_INDICATORS,row:73643,TPopulation1July (thousands) multiplied by 1000 and rounded to nearest person,DERIVED
73644,JAM,Jamaica,JAM,Jamaica,2024,2839175,2839.175,Medium,UN_WPP_2024,UN_WPP_2024_MEDIUM_DEMOGRAPHIC_INDICATORS,row:73644,TPopulation1July (thousands) multiplied by 1000 and rounded to nearest person,DERIVED
73645,JAM,Jamaica,JAM,Jamaica,2025,2837077,2837.077,Medium,UN_WPP_2024,UN_WPP_2024_MEDIUM_DEMOGRAPHIC_INDICATORS,row:73645,TPopulation1July (thousands) multiplied by 1000 and rounded to nearest person,DERIVED
73942,MST,Montserrat,MSR,Montserrat,2018,4569,4.569,Medium,UN_WPP_2024,UN_WPP_2024_MEDIUM_DEMOGRAPHIC_INDICATORS,row:73942,TPopulation1July (thousands) multiplied by 1000 and rounded to nearest person,DERIVED
73943,MST,Montserrat,MSR,Montserrat,2019,4540,4.54,Medium,UN_WPP_2024,UN_WPP_2024_MEDIUM_DEMOGRAPHIC_INDICATORS,row:73943,TPopulation1July (thousands) multiplied by 1000 and rounded to nearest person,DERIVED
73944,MST,Montserrat,MSR,Montserrat,2020,4508,4.508,Medium,UN_WPP_2024,UN_WPP_2024_MEDIUM_DEMOGRAPHIC_INDICATORS,row:73944,TPopulation1July (thousands) multiplied by 1000 and rounded to nearest person,DERIVED
73945,MST,Montserrat,MSR,Montserrat,2021,4479,4.479,Medium,UN_WPP_2024,UN_WPP_2024_MEDIUM_DEMOGRAPHIC_INDICATORS,row:73945,TPopulation1July (thousands) multiplied by 1000 and rounded to nearest person,DERIVED
73946,MST,Montserrat,MSR,Montserrat,2022,4453,4.453,Medium,UN_WPP_2024,UN_WPP_2024_MEDIUM_DEMOGRAPHIC_INDICATORS,row:73946,TPopulation1July (thousands) multiplied by 1000 and rounded to nearest person,DERIVED
73947,MST,Montserrat,MSR,Montserrat,2023,4420,4.42,Medium,UN_WPP_2024,UN_WPP_2024_MEDIUM_DEMOGRAPHIC_INDICATORS,row:73947,TPopulation1July (thousands) multiplied by 1000 and rounded to nearest person,DERIVED
73948,MST,Montserrat,MSR,Montserrat,2024,4389,4.389,Medium,UN_WPP_2024,UN_WPP_2024_MEDIUM_DEMOGRAPHIC_INDICATORS,row:73948,TPopulation1July (thousands) multiplied by 1000 and rounded to nearest person,DERIVED
73949,MST,Montserrat,MSR,Montserrat,2025,4359,4.359,Medium,UN_WPP_2024,UN_WPP_2024_MEDIUM_DEMOGRAPHIC_INDICATORS,row:73949,TPopulation1July (thousands) multiplied by 1000 and rounded to nearest person,DERIVED
74398,KNA,Saint Kitts and Nevis,KNA,Saint Kitts and Nevis,2018,47008,47.008,Medium,UN_WPP_2024,UN_WPP_2024_MEDIUM_DEMOGRAPHIC_INDICATORS,row:74398,TPopulation1July (thousands) multiplied by 1000 and rounded to nearest person,DERIVED
74399,KNA,Saint Kitts and Nevis,KNA,Saint Kitts and Nevis,2019,46952,46.952,Medium,UN_WPP_2024,UN_WPP_2024_MEDIUM_DEMOGRAPHIC_INDICATORS,row:74399,TPopulation1July (thousands) multiplied by 1000 and rounded to nearest person,DERIVED
74400,KNA,Saint Kitts and Nevis,KNA,Saint Kitts and Nevis,2020,46870,46.87,Medium,UN_WPP_2024,UN_WPP_2024_MEDIUM_DEMOGRAPHIC_INDICATORS,row:74400,TPopulation1July (thousands) multiplied by 1000 and rounded to nearest person,DERIVED
74401,KNA,Saint Kitts and Nevis,KNA,Saint Kitts and Nevis,2021,46763,46.763,Medium,UN_WPP_2024,UN_WPP_2024_MEDIUM_DEMOGRAPHIC_INDICATORS,row:74401,TPopulation1July (thousands) multiplied by 1000 and rounded to nearest person,DERIVED
74402,KNA,Saint Kitts and Nevis,KNA,Saint Kitts and Nevis,2022,46709,46.709,Medium,UN_WPP_2024,UN_WPP_2024_MEDIUM_DEMOGRAPHIC_INDICATORS,row:74402,TPopulation1July (thousands) multiplied by 1000 and rounded to nearest person,DERIVED
74403,KNA,Saint Kitts and Nevis,KNA,Saint Kitts and Nevis,2023,46758,46.758,Medium,UN_WPP_2024,UN_WPP_2024_MEDIUM_DEMOGRAPHIC_INDICATORS,row:74403,TPopulation1July (thousands) multiplied by 1000 and rounded to nearest person,DERIVED
74404,KNA,Saint Kitts and Nevis,KNA,Saint Kitts and Nevis,2024,46843,46.843,Medium,UN_WPP_2024,UN_WPP_2024_MEDIUM_DEMOGRAPHIC_INDICATORS,row:74404,TPopulation1July (thousands) multiplied by 1000 and rounded to nearest person,DERIVED
74405,KNA,Saint Kitts and Nevis,KNA,Saint Kitts and Nevis,2025,46922,46.922,Medium,UN_WPP_2024,UN_WPP_2024_MEDIUM_DEMOGRAPHIC_INDICATORS,row:74405,TPopulation1July (thousands) multiplied by 1000 and rounded to nearest person,DERIVED
74550,LCA,Saint Lucia,LCA,Saint Lucia,2018,177017,177.017,Medium,UN_WPP_2024,UN_WPP_2024_MEDIUM_DEMOGRAPHIC_INDICATORS,row:74550,TPopulation1July (thousands) multiplied by 1000 and rounded to nearest person,DERIVED
74551,LCA,Saint Lucia,LCA,Saint Lucia,2019,177661,177.661,Medium,UN_WPP_2024,UN_WPP_2024_MEDIUM_DEMOGRAPHIC_INDICATORS,row:74551,TPopulation1July (thousands) multiplied by 1000 and rounded to nearest person,DERIVED
74552,LCA,Saint Lucia,LCA,Saint Lucia,2020,178250,178.25,Medium,UN_WPP_2024,UN_WPP_2024_MEDIUM_DEMOGRAPHIC_INDICATORS,row:74552,TPopulation1July (thousands) multiplied by 1000 and rounded to nearest person,DERIVED
74553,LCA,Saint Lucia,LCA,Saint Lucia,2021,178522,178.522,Medium,UN_WPP_2024,UN_WPP_2024_MEDIUM_DEMOGRAPHIC_INDICATORS,row:74553,TPopulation1July (thousands) multiplied by 1000 and rounded to nearest person,DERIVED
74554,LCA,Saint Lucia,LCA,Saint Lucia,2022,178781,178.781,Medium,UN_WPP_2024,UN_WPP_2024_MEDIUM_DEMOGRAPHIC_INDICATORS,row:74554,TPopulation1July (thousands) multiplied by 1000 and rounded to nearest person,DERIVED
74555,LCA,Saint Lucia,LCA,Saint Lucia,2023,179285,179.285,Medium,UN_WPP_2024,UN_WPP_2024_MEDIUM_DEMOGRAPHIC_INDICATORS,row:74555,TPopulation1July (thousands) multiplied by 1000 and rounded to nearest person,DERIVED
74556,LCA,Saint Lucia,LCA,Saint Lucia,2024,179744,179.744,Medium,UN_WPP_2024,UN_WPP_2024_MEDIUM_DEMOGRAPHIC_INDICATORS,row:74556,TPopulation1July (thousands) multiplied by 1000 and rounded to nearest person,DERIVED
74557,LCA,Saint Lucia,LCA,Saint Lucia,2025,180149,180.149,Medium,UN_WPP_2024,UN_WPP_2024_MEDIUM_DEMOGRAPHIC_INDICATORS,row:74557,TPopulation1July (thousands) multiplied by 1000 and rounded to nearest person,DERIVED
74854,VCT,Saint Vincent and the Grenadines,VCT,Saint Vincent and the Grenadines,2018,104926,104.926,Medium,UN_WPP_2024,UN_WPP_2024_MEDIUM_DEMOGRAPHIC_INDICATORS,row:74854,TPopulation1July (thousands) multiplied by 1000 and rounded to nearest person,DERIVED
74855,VCT,Saint Vincent and the Grenadines,VCT,Saint Vincent and the Grenadines,2019,104167,104.167,Medium,UN_WPP_2024,UN_WPP_2024_MEDIUM_DEMOGRAPHIC_INDICATORS,row:74855,TPopulation1July (thousands) multiplied by 1000 and rounded to nearest person,DERIVED
