comparison,outcome,min,Q25,median,mean,Q75,max,increased,decreased,unchanged
rel:Reference->Favorable|risk:Low,F_Water,-14632783.986706106,0.0,0.0,653942.3037781768,0.0,14632783.986706106,17,8,175
rel:Reference->Favorable|risk:Low,F_Vaccine,-3074503.8692145064,0.0,0.0,-93700.4017236657,0.0,3116750.209501303,13,26,161
rel:Reference->Favorable|risk:Low,F_Crackers,-388250149.79368615,0.0,0.0,9393687.155670151,0.0,456517241.1863964,28,16,156
rel:Reference->Favorable|risk:Low,paid_R_any,0.0,0.0,0.0,0.0,0.0,0.0,,,200
rel:Reference->Favorable|risk:Low,R1_item_count,0.0,0.0,0.0,0.0,0.0,0.0,,,200
rel:Reference->Favorable|risk:Low,R2_item_count,0.0,0.0,0.0,0.0,0.0,0.0,,,200
rel:Reference->Favorable|risk:Low,worst_shortage_Water,-10400000.0,0.0,0.0,-464778.26539855654,0.0,10400000.0,8,17,175
rel:Reference->Favorable|risk:Low,worst_shortage_Vaccine,-2215176.7024143785,0.0,0.0,66595.95185792688,0.0,2185150.841349126,26,13,161
rel:Reference->Favorable|risk:Low,worst_shortage_Crackers,-324461791.59426403,0.0,0.0,-6676401.873199585,0.0,275942128.40992403,16,28,156
rel:Reference->Favorable|risk:Low,worst_shortage_penalty,-2.384185791015625e-07,0.0,0.0,3.5762786865234374e-09,0.0,2.384185791015625e-07,,,200
rel:Reference->Favorable|risk:Low,T_COST,-2.384185791015625e-07,0.0,0.0,3.5762786865234374e-09,0.0,2.384185791015625e-07,,,200
rel:Reference->Favorable|risk:Low,budget_usage,-2.220446049250313e-16,0.0,0.0,-6.661338147750939e-18,0.0,2.220446049250313e-16,,,200
rel:Unfavorable->Favorable|risk:Low,F_total,-494118963.36614966,0.0,0.0,-2045844.2860949957,0.0,453442737.3171819,24,25,151
rel:Unfavorable->Favorable|risk:Low,F_Water,-14632783.986706106,0.0,0.0,434450.5439775852,0.0,14632783.986706106,16,12,172
rel:Unfavorable->Favorable|risk:Low,F_Vaccine,-3074503.8692145064,0.0,0.0,-3540.6883567602304,0.0,3350303.2239743047,20,20,160
rel:Unfavorable->Favorable|risk:Low,F_Crackers,-497469266.59012395,0.0,0.0,-2476754.14171582,0.0,456517241.1863964,24,25,151
rel:Unfavorable->Favorable|risk:Low,paid_R_any,0.0,0.0,0.0,0.0,0.0,0.0,,,200
rel:Unfavorable->Favorable|risk:Low,R1_item_count,0.0,0.0,0.0,0.0,0.0,0.0,,,200
rel:Unfavorable->Favorable|risk:Low,R2_item_count,0.0,0.0,0.0,0.0,0.0,0.0,,,200
rel:Unfavorable->Favorable|risk:Low,worst_shortage_Water,-10400000.0,0.0,0.0,-308778.26539855654,0.0,10400000.0,12,16,172
rel:Unfavorable->Favorable|risk:Low,worst_shortage_Vaccine,-2381170.497766371,0.0,0.0,2516.483462324068,0.0,2185150.841349126,20,20,160
rel:Unfavorable->Favorable|risk:Low,worst_shortage_Crackers,-324461791.59426403,0.0,0.0,1760310.4848158741,0.0,353567740.5774307,25,24,151
